Field=Description~String~Description~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~String~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~String~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~String~Supplier Unit Price 1~100|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~IoTProject_V1.1.PrjPcb|ReportField=ProjectFullPath~C:\Users\a\Desktop\Electronic Project\IoTProject_V1.1\Rollmech_Design_Files\IoTProject_V1.1\IoTProject_V1.1\IoTProject_V1.1.PrjPcb|ReportField=Title~BOM_PartType For Variant [COMM 5V - I/O 12V] of Project [IoTProject_V1.1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~206|ReportField=ReportTime~9:21:18 AM|ReportField=ReportDate~10/10/2019|ReportField=ReportDateTime~10/10/2019 9:21:18 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~COMM 5V - I/O 12V|ReportField=Company~(c) Rollmech Automotive|ReportField=Designer~Selman Cogay|ReportField=NotFitted~|ReportField=Proje~IoT-Project|ReportField=Project~IoTProject|ReportField=VersionRevision~V1|1|ReportField=WebSite~https://www.rollmech.com|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.52|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=4|PrintQuality=600|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A4|PaperIndex=9|ReportField=DataSourceFileName~IoTProject_V1.1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\a\Desktop\Electronic Project\IoTProject_V1.1\Rollmech_Design_Files\IoTProject_V1.1\IoTProject_V1.1\IoTProject_V1.1.PrjPcb
1UF 35V X5R 0603|1|TDK Corporation|CGA3E3X5R1V105K080AB|Digikey|USD|1|445-12484-1-ND|11910|0.25|0.25|0603 (1608 Metric)|Ceramic Capacitors
100nf 35V X5r 0603|3|Taiyo Yuden|GMK107BJ104KAHT|Digikey|USD|3|587-3357-1-ND|97932|0.36|0.12|0603 (1608 Metric)|Ceramic Capacitors
10UF 16V 0805|2|TDK Corporation|CGA4J1X5R1C106M125AC|Digikey|USD|2|445-12654-1-ND|39905|1|0.50|0805 (2012 Metric)|Ceramic Capacitors
CAP CER 4.7PF 50V C0G 0603|4|TDK Corporation|CGA3E2C0G1H4R7C080AA|Digikey|USD|4|445-5621-1-ND|2040|0.76|0.19|0603 (1608 Metric)|Ceramic Capacitors
CAP CER 100PF 100V C0G 0805|3|TDK Corporation|CGJ4C2C0G2A101J060AA|Digikey|USD|3|445-9158-1-ND|8803|0.9|0.30|0805 (2012 Metric)|Ceramic Capacitors
CAP CER 4700PF 50V X7R 0603|1|TDK Corporation|CGA3E2X7R1H472K080AA|Digikey|USD|1|445-5661-1-ND|286028|0.1|0.10|0603 (1608 Metric)|Ceramic Capacitors
CAP CER 10UF 10V X5R 0805|1|TDK Corporation|CGA4J3X5R1A106K125AB|Digikey|USD|1|445-6970-1-ND|278119|0.39|0.39|0805 (2012 Metric)|Ceramic Capacitors
CAP CER 0.1UF 25V X7R 0603, CAP CER 0.1UF 25V X7R 0603, 100nf 35V X5r 0603, 100nf 35V X5r 0603, 100nf 35V X5r 0603, 100nf 35V X5r 0603|6|TDK Corporation, TDK Corporation, Taiyo Yuden, Taiyo Yuden, Taiyo Yuden, Taiyo Yuden|CGA3E2X7R1E104K080AA, CGA3E2X7R1E104K080AA, GMK107BJ104KAHT, GMK107BJ104KAHT, GMK107BJ104KAHT, GMK107BJ104KAHT|Digikey|USD|6|445-5667-1-ND, 445-5667-1-ND, 587-3357-1-ND, 587-3357-1-ND, 587-3357-1-ND, 587-3357-1-ND|1909079, 1909079, 97932, 97932, 97932, 97932||0.10, 0.10, 0.12, 0.12, 0.12, 0.12|0603 (1608 Metric)|Ceramic Capacitors
22PF 100V C0G/NP0 0603|2|Murata Electronics North America|GCM1885C2A220FA16D|Digikey|USD|2|490-16413-1-ND|22604|0.44|0.22|0603 (1608 Metric)|Ceramic Capacitors
1UF 35V X5R 0603|1|TDK Corporation|CGA3E3X5R1V105K080AB|Digikey|USD|1|445-12484-1-ND|11910|0.25|0.25|0603 (1608 Metric)|Ceramic Capacitors
10nF 100V X7R 0805|1|Samsung Electro-Mechanics|CL21B103KC6WPNC|Digikey|USD|1|1276-6845-1-ND|38701|0.1|0.10|0805 (2012 Metric)|Ceramic Capacitors
CAP CER 4.7UF 35V X6S 0805|2|Murata Electronics North America|GRT21BC8YA475KE13L|Digikey|USD|2|490-12361-1-ND|5076|0.82|0.41|0805 (2012 Metric)|Ceramic Capacitors
