Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

D2         DO-214AB               16.3mm         6.1mm        16.3mm         6.1mm        16.3mm         2.8mm  T         90.00 33V3 TVS       
XTAL2      XTAL_4SMD              77.8mm       22.27mm        80.8mm          21mm        80.8mm       23.54mm  T        180.00 ECS-80-18-20BQ-DS
XTAL1      XTAL_2SMD             89.85mm        21.3mm        91.1mm        21.3mm        91.1mm        21.3mm  T        180.00 32768Khz       
U11        LQFP64                 79.7mm        34.7mm        79.7mm        34.7mm       75.95mm       28.65mm  T         90.00 STM32F072R8T6TR
U10        6-SOIC                 43.2mm       38.77mm        46.2mm        37.5mm        46.2mm        37.5mm  T        180.00 NPN            
U9         6-SOIC                 43.2mm       47.37mm        46.2mm        46.1mm        46.2mm        46.1mm  T        180.00 NPN            
U8         6-SOIC                 33.4mm       38.77mm        36.4mm        37.5mm        36.4mm        37.5mm  T        180.00 NPN            
U7         6-SOIC                 33.4mm       47.37mm        36.4mm        46.1mm        36.4mm        46.1mm  T        180.00 NPN            
U6         6-SOIC                 23.6mm       38.77mm        26.6mm        37.5mm        26.6mm        37.5mm  T        180.00 NPN            
U5         6-SOIC                 23.6mm       47.37mm        26.6mm        46.1mm        26.6mm        46.1mm  T        180.00 NPN            
U4         SOIC-8                   32mm        25.9mm          32mm        25.9mm        29.5mm      27.805mm  T        360.00 2M eeprom      
U3         SOIC8                  59.7mm         8.8mm        59.7mm         8.8mm        62.4mm       6.895mm  T        180.00 SN65HVD232QDRQ1
U2         PG-TO252-3-11         36.92mm        7.95mm        39.2mm        11.1mm        39.2mm        11.1mm  T        180.00 TLE4284DV50    
U1         PG-TO252-3-11         26.72mm        7.95mm          29mm        11.1mm          29mm        11.1mm  T        180.00 TLE4284DV33    
SW1        TAC-SW                 20.1mm          22mm        20.1mm          22mm      24.695mm          22mm  T        180.00 Tac Sw         
R105       R0805                  15.6mm          26mm        15.6mm          26mm       16.55mm          26mm  T        180.00 5.6k 1/8W      
R104       R0805                  70.1mm        26.1mm        70.1mm        26.1mm       71.05mm        26.1mm  T        180.00 5.6k 1/8W      
R103       R0805                    46mm        25.6mm          46mm        25.6mm          46mm       24.65mm  T         90.00 0R             
R101       R0805                  40.9mm        33.8mm        40.9mm        33.8mm       41.85mm        33.8mm  T        180.00 5.6k 1/8W      
R100       R0805                  40.9mm        42.4mm        40.9mm        42.4mm       41.85mm        42.4mm  T        180.00 5.6k 1/8W      
R99        R0603                  66.4mm        33.7mm        66.4mm        33.7mm        66.4mm       34.45mm  T        270.00 100K           
R98        R0603                  66.4mm        39.2mm        66.4mm        39.2mm        66.4mm       39.95mm  T        270.00 100K           
R97        R0805                  45.5mm        33.8mm        45.5mm        33.8mm       46.45mm        33.8mm  T        180.00 100R           
R96        R0805                  45.5mm        42.4mm        45.5mm        42.4mm       46.45mm        42.4mm  T        180.00 100R           
R95        R0805                  63.9mm        33.9mm        63.9mm        33.9mm        63.9mm       32.95mm  T         90.00 10K            
R94        R0805                  63.9mm        39.4mm        63.9mm        39.4mm        63.9mm       38.45mm  T         90.00 10K            
R93        R0805                  64.5mm        52.4mm        64.5mm        52.4mm        64.5mm       51.45mm  T         90.00 140R           
R92        R0805                  64.5mm        60.5mm        64.5mm        60.5mm        64.5mm       59.55mm  T         90.00 140R           
R91        R0805                  31.1mm        33.8mm        31.1mm        33.8mm       32.05mm        33.8mm  T        180.00 5.6k 1/8W      
R90        R0805                  31.1mm        42.4mm        31.1mm        42.4mm       32.05mm        42.4mm  T        180.00 5.6k 1/8W      
R89        R0603                  56.6mm        33.7mm        56.6mm        33.7mm        56.6mm       34.45mm  T        270.00 100K           
R88        R0603                  56.6mm        39.2mm        56.6mm        39.2mm        56.6mm       39.95mm  T        270.00 100K           
R87        R0805                  35.7mm        33.8mm        35.7mm        33.8mm       36.65mm        33.8mm  T        180.00 100R           
R86        R0805                  35.7mm        42.4mm        35.7mm        42.4mm       36.65mm        42.4mm  T        180.00 100R           
R85        R0805                  54.1mm        33.9mm        54.1mm        33.9mm        54.1mm       32.95mm  T         90.00 10K            
R84        R0805                  54.1mm        39.4mm        54.1mm        39.4mm        54.1mm       38.45mm  T         90.00 10K            
R83        R0805                  42.6mm        52.4mm        42.6mm        52.4mm        42.6mm       51.45mm  T         90.00 140R           
R82        R0805                  42.6mm        60.5mm        42.6mm        60.5mm        42.6mm       59.55mm  T         90.00 140R           
R81        R0805                  21.3mm        33.8mm        21.3mm        33.8mm       22.25mm        33.8mm  T        180.00 5.6k 1/8W      
R80        R0805                  21.3mm        42.4mm        21.3mm        42.4mm       22.25mm        42.4mm  T        180.00 5.6k 1/8W      
R79        R0603                  66.4mm        44.7mm        66.4mm        44.7mm        66.4mm       45.45mm  T        270.00 100K           
R78        R0603                  56.7mm        44.7mm        56.7mm        44.7mm        56.7mm       45.45mm  T        270.00 100K           
R77        R0805                  25.9mm        33.8mm        25.9mm        33.8mm       26.85mm        33.8mm  T        180.00 100R           
R76        R0805                  25.9mm        42.4mm        25.9mm        42.4mm       26.85mm        42.4mm  T        180.00 100R           
R75        R0805                  63.9mm        44.9mm        63.9mm        44.9mm        63.9mm       43.95mm  T         90.00 10K            
R74        R0805                  54.2mm        44.9mm        54.2mm        44.9mm        54.2mm       43.95mm  T         90.00 10K            
R73        R0805                  20.7mm        52.2mm        20.7mm        52.2mm        20.7mm       51.25mm  T         90.00 140R           
R72        R0805                  20.7mm        60.3mm        20.7mm        60.3mm        20.7mm       59.35mm  T         90.00 140R           
R70        R0805                  61.8mm        25.6mm        61.8mm        25.6mm        61.8mm       24.65mm  T         90.00 0R             
R69        R0603                  81.9mm        84.4mm        81.9mm        84.4mm        81.9mm       83.65mm  T         90.00 100K           
R68        R0603                  72.2mm        84.4mm        72.2mm        84.4mm        72.2mm       83.65mm  T         90.00 100K           
R65        R0805                  79.4mm        84.6mm        79.4mm        84.6mm        79.4mm       83.65mm  T         90.00 10K            
R64        R0805                  69.7mm        84.6mm        69.7mm        84.6mm        69.7mm       83.65mm  T         90.00 10K            
R63        R0805                  90.3mm        76.5mm        90.3mm        76.5mm        90.3mm       75.55mm  T         90.00 1K             
R62        R0805                  90.3mm        68.4mm        90.3mm        68.4mm        90.3mm       69.35mm  T        270.00 1K             
R61        R0805                  82.4mm        73.2mm        82.4mm        73.2mm       81.45mm        73.2mm  T        360.00 5.6k 1/8W      
R60        R0805                  82.4mm        65.1mm        82.4mm        65.1mm       81.45mm        65.1mm  T        360.00 5.6k 1/8W      
R59        R0805                  64.4mm        76.5mm        64.4mm        76.5mm        64.4mm       75.55mm  T         90.00 140R           
